"","Group","Species","dry_mass_g","Temp_C","Mortality_yr","Ref"
"357","Mammal","Pan troglodytes",11250,38,0.05,128
"358","Mammal","Pan troglodytes",11250,38,0.049,128
"359","Mammal","Pan troglodytes",11250,38,0.042,128
"360","Mammal","Panthera leo",39000,38,0.032,3
"361","Mammal","Panthera leo",40370,38,0.169,128
"362","Mammal","Panthera leo",40370,38,0.169,128
"363","Mammal","Panthera leo",40370,38,0.087,128
"364","Mammal","Panthera pardus",13750,38,0.213,128
"365","Mammal","Panthera tigris",50000,38,0.169,128
"366","Mammal","Panthera tigris",50000,38,0.097,128
"367","Mammal","Panthera tigris",50000,38,0.096,128
"368","Mammal","Papio hamadryas",5313,38,0.068,128
"369","Mammal","Paradoxurus hermaphroditus",750,38,0.115,128
"370","Mammal","Parantechinus apicalis",17.19,38,0.909,128
"371","Mammal","Pseudantechinus bilarni",6.875,38,0.909,128
"372","Mammal","Parascalops breweri",12.75,38,0.667,128
"373","Mammal","Parascalops breweri",12.75,38,0.526,128
"374","Mammal","Pelea capreolus",5000,38,0.256,128
"375","Mammal","Peponocephala electra",51500,38,0.053,128
"376","Mammal","Petauroides volans",325,38,0.435,128
"377","Mammal","Petaurus australis",143.8,38,0.256,128
"378","Mammal","Petaurus breviceps",31.88,38,0.182,128
"379","Mammal","Phacochoerus aethiopicus",17750,38,0.169,128
"380","Mammal","Phacochoerus aethiopicus",17750,38,0.135,128
"381","Mammal","Phascolarctos cinereus",2563,38,0.196,128
"382","Mammal","Phascolarctos cinereus",2563,38,0.149,128
"383","Mammal","Pusa caspica",21500,38,0.072,128
"384","Mammal","Pusa caspica",21500,38,0.053,128
"385","Mammal","Pusa caspica",21500,38,0.05,128
"386","Mammal","Pusa caspica",21500,38,0.05,128
"387","Mammal","Histriophoca fasciata",22500,38,0.11,128
"388","Mammal","Histriophoca fasciata",22500,38,0.084,128
"389","Mammal","Histriophoca fasciata",22500,38,0.081,128
"390","Mammal","Pagophilus groenlandicus",30000,38,0.087,128
"391","Mammal","Pagophilus groenlandicus",30000,38,0.084,128
"392","Mammal","Pagophilus groenlandicus",30000,38,0.084,128
"393","Mammal","Pusa hispida",16250,38,0.063,3
"394","Mammal","Pusa hispida",25000,38,0.063,128
"395","Mammal","Pusa hispida",25000,38,0.058,128
"396","Mammal","Pusa hispida",25000,38,0.058,128
"397","Mammal","Pusa hispida",25000,38,0.055,128
"398","Mammal","Pusa sibirica",25000,38,0.048,128
"399","Mammal","Pusa sibirica",25000,38,0.045,128
"400","Mammal","Pusa sibirica",25000,38,0.045,128
"401","Mammal","Phoca vitulina",25000,38,0.097,128
"402","Mammal","Phoca vitulina",25000,38,0.079,128
"403","Mammal","Phoca vitulina",25000,38,0.074,128
"404","Mammal","Phoca vitulina",25000,38,0.063,128
"405","Mammal","Phocoena phocoena",12500,38,0.196,128
"406","Mammal","Phocoenoides dalli",25000,38,0.149,128
"407","Mammal","Phocoenoides dalli",25000,38,0.115,128
"408","Mammal","Physeter macrocephalus",1e+07,38,0.033,128
"409","Mammal","Pithecia pithecia",343.9,38,0.182,128
"410","Mammal","Pongo pygmaeus",12500,38,0.072,128
"411","Mammal","Pongo pygmaeus",12500,38,0.043,128
"412","Mammal","Pontoporia blainvillei",10000,38,0.159,128
"413","Mammal","Potamochoerus porcus",17500,38,0.169,128
"414","Mammal","Potamochoerus porcus",17500,38,0.127,128
"415","Mammal","Potos flavus",408.8,38,0.087,128
"416","Mammal","Potos flavus",408.8,38,0.087,128
"417","Mammal","Priodontes maximus",11340,38,0.169,128
"418","Mammal","Prionailurus bengalensis",1250,38,0.169,128
"419","Mammal","Procavia capensis",757.5,38,0.303,128
"420","Mammal","Procavia capensis",757.5,38,0.182,128
"421","Mammal","Procyon cancrivorus",1737,38,0.182,128
"422","Mammal","Procyon lotor",1381,38,0.127,128
"423","Mammal","Proechimys semispinosus",90.13,38,1.429,128
"424","Mammal","Pseudocheirus peregrinus",225,38,0.526,128
"425","Mammal","Pseudocheirus peregrinus",225,38,0.435,128
"426","Mammal","Pseudois nayaur",16000,38,0.105,128
"427","Mammal","Pseudorca crassidens",340000,38,0.115,128
"428","Mammal","Rangifer tarandus",21510,38,0.323,128
"429","Mammal","Rangifer tarandus",21510,38,0.256,128
"430","Mammal","Rangifer tarandus",21510,38,0.169,128
"431","Mammal","Rangifer tarandus",26250,38,0.076,3
"432","Mammal","Rangifer tarandus",26250,38,0.076,3
"433","Mammal","Redunca fulvorufula",7375,38,0.213,128
"434","Mammal","Rhinoceros unicornis",4e+05,38,0.063,128
"435","Mammal","Rhinoceros unicornis",4e+05,38,0.056,128
"436","Mammal","Rhinoceros unicornis",4e+05,38,0.051,128
"437","Mammal","Rhynchocyon chrysopygus",135,38,0.667,128
"438","Mammal","Rupicapra rupicapra",8500,38,0.219,3
"439","Mammal","Rupicapra rupicapra",8750,38,0.127,128
"440","Mammal","Syncerus caffer",117300,38,0.026,3
"441","Mammal","Syncerus caffer",117300,38,0.092,3
"442","Mammal","Syncerus caffer",117300,38,0.03,3
"443","Mammal","Leontocebus nigricollis",115.5,38,0.256,128
"444","Mammal","Saiga tatarica",10000,38,0.256,128
"445","Mammal","Saiga tatarica",10000,38,0.213,128
"446","Mammal","Saimiri sciureus",185.8,38,0.12,128
"447","Mammal","Scalopus aquaticus",22.81,38,0.909,128
"448","Mammal","Sciurus carolinensis",126.6,38,0.204,128
"449","Mammal","Sciurus carolinensis",126.6,38,0.108,128
"450","Mammal","Sciurus carolinensis",126.6,38,0.107,128
"451","Mammal","Sciurus vulgaris",75,38,0.213,128
"452","Mammal","Setonix brachyurus",812.5,38,0.256,128
"453","Mammal","Setonix brachyurus",812.5,38,0.256,128
"454","Mammal","Sicista betulina",2.5,38,0.769,128
"455","Mammal","Sminthopsis crassicaudata",3.75,38,2.381,128
"456","Mammal","Sminthopsis crassicaudata",3.75,38,2,128
"457","Mammal","Sorex alpinus",1.95,38,2.381,128
"458","Mammal","Sorex araneus",2.5,38,1.429,128
"459","Mammal","Sorex fumeus",1.925,38,3.333,128
